/bin/bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
START TIME: Sun May 25 02:59:52 CEST 2025 --sl 4096
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
/usr/bin/bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
/users/ahkhan/.bashrc: line 33: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
INFO:root:Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=4096, batch_size=1, fused_optimizer=True, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=12, grad_max_norm=1, model_dtype='bf16', compile=False, output_dir='/iopsstor/scratch/cscs/ahkhan/project/output/data', fp8_train=False, fp8_recipe='tensorwise', attention_backend='flash-attn', job_name='flash-attn-fa')
2025-05-25 03:00:10,659 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=4096, batch_size=1, fused_optimizer=True, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=12, grad_max_norm=1, model_dtype='bf16', compile=False, output_dir='/iopsstor/scratch/cscs/ahkhan/project/output/data', fp8_train=False, fp8_recipe='tensorwise', attention_backend='flash-attn', job_name='flash-attn-fa')
INFO:root:Setting up DataLoaders...
2025-05-25 03:00:10,660 - root - INFO - Setting up DataLoaders...
INFO:root:Setting up Model...
2025-05-25 03:00:13,879 - root - INFO - Setting up Model...
INFO:root:Starting training!
2025-05-25 03:00:47,964 - root - INFO - Starting training!
INFO:root:Step: 1 | Loss: 11.92 | Tokens per second: 3858.82 | Training tokens per second (%): 19.38 | MFU (%): 20.11 | TFLOPs: 198.89
2025-05-25 03:00:49,077 - root - INFO - Step: 1 | Loss: 11.92 | Tokens per second: 3858.82 | Training tokens per second (%): 19.38 | MFU (%): 20.11 | TFLOPs: 198.89
INFO:root:Step: 5 | Loss: 11.92 | Tokens per second: 8688.09 | Training tokens per second (%): 11.41 | MFU (%): 45.28 | TFLOPs: 447.79
2025-05-25 03:00:51,017 - root - INFO - Step: 5 | Loss: 11.92 | Tokens per second: 8688.09 | Training tokens per second (%): 11.41 | MFU (%): 45.28 | TFLOPs: 447.79
INFO:root:Step: 10 | Loss: 12.00 | Tokens per second: 8430.10 | Training tokens per second (%): 25.72 | MFU (%): 43.93 | TFLOPs: 434.50
2025-05-25 03:00:53,499 - root - INFO - Step: 10 | Loss: 12.00 | Tokens per second: 8430.10 | Training tokens per second (%): 25.72 | MFU (%): 43.93 | TFLOPs: 434.50
INFO:root:Step: 15 | Loss: 11.71 | Tokens per second: 8310.06 | Training tokens per second (%): 35.21 | MFU (%): 43.31 | TFLOPs: 428.31
2025-05-25 03:00:56,019 - root - INFO - Step: 15 | Loss: 11.71 | Tokens per second: 8310.06 | Training tokens per second (%): 35.21 | MFU (%): 43.31 | TFLOPs: 428.31
INFO:root:Step: 20 | Loss: 11.39 | Tokens per second: 8326.01 | Training tokens per second (%): 34.78 | MFU (%): 43.39 | TFLOPs: 429.13
2025-05-25 03:00:58,531 - root - INFO - Step: 20 | Loss: 11.39 | Tokens per second: 8326.01 | Training tokens per second (%): 34.78 | MFU (%): 43.39 | TFLOPs: 429.13
INFO:root:Step: 25 | Loss: 10.82 | Tokens per second: 8486.33 | Training tokens per second (%): 18.28 | MFU (%): 44.23 | TFLOPs: 437.40
2025-05-25 03:01:00,997 - root - INFO - Step: 25 | Loss: 10.82 | Tokens per second: 8486.33 | Training tokens per second (%): 18.28 | MFU (%): 44.23 | TFLOPs: 437.40
INFO:root:Step: 30 | Loss: 9.82 | Tokens per second: 8372.98 | Training tokens per second (%): 26.99 | MFU (%): 43.64 | TFLOPs: 431.55
2025-05-25 03:01:03,496 - root - INFO - Step: 30 | Loss: 9.82 | Tokens per second: 8372.98 | Training tokens per second (%): 26.99 | MFU (%): 43.64 | TFLOPs: 431.55
INFO:root:Step: 35 | Loss: 9.84 | Tokens per second: 8570.69 | Training tokens per second (%): 13.78 | MFU (%): 44.67 | TFLOPs: 441.74
2025-05-25 03:01:05,938 - root - INFO - Step: 35 | Loss: 9.84 | Tokens per second: 8570.69 | Training tokens per second (%): 13.78 | MFU (%): 44.67 | TFLOPs: 441.74
INFO:root:Step: 40 | Loss: 9.86 | Tokens per second: 8586.34 | Training tokens per second (%): 9.95 | MFU (%): 44.75 | TFLOPs: 442.55
2025-05-25 03:01:08,376 - root - INFO - Step: 40 | Loss: 9.86 | Tokens per second: 8586.34 | Training tokens per second (%): 9.95 | MFU (%): 44.75 | TFLOPs: 442.55
INFO:root:Step: 45 | Loss: 9.26 | Tokens per second: 8530.40 | Training tokens per second (%): 15.59 | MFU (%): 44.46 | TFLOPs: 439.67
2025-05-25 03:01:10,829 - root - INFO - Step: 45 | Loss: 9.26 | Tokens per second: 8530.40 | Training tokens per second (%): 15.59 | MFU (%): 44.46 | TFLOPs: 439.67
INFO:root:Step: 50 | Loss: 9.21 | Tokens per second: 8563.25 | Training tokens per second (%): 10.93 | MFU (%): 44.63 | TFLOPs: 441.36
2025-05-25 03:01:13,273 - root - INFO - Step: 50 | Loss: 9.21 | Tokens per second: 8563.25 | Training tokens per second (%): 10.93 | MFU (%): 44.63 | TFLOPs: 441.36
INFO:root:Step: 55 | Loss: 9.34 | Tokens per second: 8355.57 | Training tokens per second (%): 28.32 | MFU (%): 43.54 | TFLOPs: 430.66
2025-05-25 03:01:15,777 - root - INFO - Step: 55 | Loss: 9.34 | Tokens per second: 8355.57 | Training tokens per second (%): 28.32 | MFU (%): 43.54 | TFLOPs: 430.66
INFO:root:Step: 60 | Loss: 8.68 | Tokens per second: 8398.87 | Training tokens per second (%): 26.71 | MFU (%): 43.77 | TFLOPs: 432.89
2025-05-25 03:01:18,269 - root - INFO - Step: 60 | Loss: 8.68 | Tokens per second: 8398.87 | Training tokens per second (%): 26.71 | MFU (%): 43.77 | TFLOPs: 432.89
INFO:root:Step: 65 | Loss: 8.92 | Tokens per second: 8404.84 | Training tokens per second (%): 24.18 | MFU (%): 43.80 | TFLOPs: 433.20
2025-05-25 03:01:20,759 - root - INFO - Step: 65 | Loss: 8.92 | Tokens per second: 8404.84 | Training tokens per second (%): 24.18 | MFU (%): 43.80 | TFLOPs: 433.20
INFO:root:Step: 70 | Loss: 8.27 | Tokens per second: 8392.15 | Training tokens per second (%): 26.25 | MFU (%): 43.74 | TFLOPs: 432.54
2025-05-25 03:01:23,251 - root - INFO - Step: 70 | Loss: 8.27 | Tokens per second: 8392.15 | Training tokens per second (%): 26.25 | MFU (%): 43.74 | TFLOPs: 432.54
INFO:root:Step: 75 | Loss: 8.34 | Tokens per second: 8493.76 | Training tokens per second (%): 16.89 | MFU (%): 44.26 | TFLOPs: 437.78
2025-05-25 03:01:25,715 - root - INFO - Step: 75 | Loss: 8.34 | Tokens per second: 8493.76 | Training tokens per second (%): 16.89 | MFU (%): 44.26 | TFLOPs: 437.78
INFO:root:Step: 80 | Loss: 8.27 | Tokens per second: 8512.26 | Training tokens per second (%): 17.36 | MFU (%): 44.36 | TFLOPs: 438.73
2025-05-25 03:01:28,173 - root - INFO - Step: 80 | Loss: 8.27 | Tokens per second: 8512.26 | Training tokens per second (%): 17.36 | MFU (%): 44.36 | TFLOPs: 438.73
INFO:root:Step: 85 | Loss: 8.38 | Tokens per second: 8522.34 | Training tokens per second (%): 16.04 | MFU (%): 44.41 | TFLOPs: 439.25
2025-05-25 03:01:30,629 - root - INFO - Step: 85 | Loss: 8.38 | Tokens per second: 8522.34 | Training tokens per second (%): 16.04 | MFU (%): 44.41 | TFLOPs: 439.25
INFO:root:Step: 90 | Loss: 7.81 | Tokens per second: 7994.49 | Training tokens per second (%): 57.98 | MFU (%): 41.66 | TFLOPs: 412.05
2025-05-25 03:01:33,244 - root - INFO - Step: 90 | Loss: 7.81 | Tokens per second: 7994.49 | Training tokens per second (%): 57.98 | MFU (%): 41.66 | TFLOPs: 412.05
INFO:root:Step: 95 | Loss: 7.51 | Tokens per second: 8020.23 | Training tokens per second (%): 57.90 | MFU (%): 41.80 | TFLOPs: 413.37
2025-05-25 03:01:35,851 - root - INFO - Step: 95 | Loss: 7.51 | Tokens per second: 8020.23 | Training tokens per second (%): 57.90 | MFU (%): 41.80 | TFLOPs: 413.37
INFO:root:Step: 100 | Loss: 7.46 | Tokens per second: 7657.96 | Training tokens per second (%): 93.89 | MFU (%): 39.91 | TFLOPs: 394.70
2025-05-25 03:01:38,581 - root - INFO - Step: 100 | Loss: 7.46 | Tokens per second: 7657.96 | Training tokens per second (%): 93.89 | MFU (%): 39.91 | TFLOPs: 394.70
INFO:root:Step: 105 | Loss: 7.73 | Tokens per second: 8464.25 | Training tokens per second (%): 17.91 | MFU (%): 44.11 | TFLOPs: 436.26
2025-05-25 03:01:41,053 - root - INFO - Step: 105 | Loss: 7.73 | Tokens per second: 8464.25 | Training tokens per second (%): 17.91 | MFU (%): 44.11 | TFLOPs: 436.26
INFO:root:Step: 110 | Loss: 8.31 | Tokens per second: 8407.58 | Training tokens per second (%): 25.76 | MFU (%): 43.82 | TFLOPs: 433.34
2025-05-25 03:01:43,541 - root - INFO - Step: 110 | Loss: 8.31 | Tokens per second: 8407.58 | Training tokens per second (%): 25.76 | MFU (%): 43.82 | TFLOPs: 433.34
INFO:root:Step: 115 | Loss: 7.72 | Tokens per second: 8580.43 | Training tokens per second (%): 9.98 | MFU (%): 44.72 | TFLOPs: 442.25
2025-05-25 03:01:45,980 - root - INFO - Step: 115 | Loss: 7.72 | Tokens per second: 8580.43 | Training tokens per second (%): 9.98 | MFU (%): 44.72 | TFLOPs: 442.25
INFO:root:Step: 120 | Loss: 7.90 | Tokens per second: 8372.43 | Training tokens per second (%): 26.43 | MFU (%): 43.63 | TFLOPs: 431.52
2025-05-25 03:01:48,479 - root - INFO - Step: 120 | Loss: 7.90 | Tokens per second: 8372.43 | Training tokens per second (%): 26.43 | MFU (%): 43.63 | TFLOPs: 431.52
INFO:root:Step: 125 | Loss: 8.14 | Tokens per second: 8414.45 | Training tokens per second (%): 24.73 | MFU (%): 43.85 | TFLOPs: 433.69
2025-05-25 03:01:50,965 - root - INFO - Step: 125 | Loss: 8.14 | Tokens per second: 8414.45 | Training tokens per second (%): 24.73 | MFU (%): 43.85 | TFLOPs: 433.69
INFO:root:Step: 130 | Loss: 8.70 | Tokens per second: 8465.01 | Training tokens per second (%): 17.81 | MFU (%): 44.11 | TFLOPs: 436.30
2025-05-25 03:01:53,437 - root - INFO - Step: 130 | Loss: 8.70 | Tokens per second: 8465.01 | Training tokens per second (%): 17.81 | MFU (%): 44.11 | TFLOPs: 436.30
INFO:root:Step: 135 | Loss: 7.74 | Tokens per second: 8421.92 | Training tokens per second (%): 21.95 | MFU (%): 43.89 | TFLOPs: 434.08
2025-05-25 03:01:55,921 - root - INFO - Step: 135 | Loss: 7.74 | Tokens per second: 8421.92 | Training tokens per second (%): 21.95 | MFU (%): 43.89 | TFLOPs: 434.08
